"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juglandaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Melanthiaceae"	"Nyssa"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platycarya"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sciadopitys"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
3090	4025	"Dvur Anšov"	48.776394	16.4207	70	"AWI"	70	1035	2873	1905	0	0	3	49	0	0	0	8	0	11	0	0	0	1	0	0	3	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	127	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	5	1	0	0	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	80	"AWI"	80	1280	3162	2185	1	0	7	39	0	0	0	15	0	7	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	172	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	90	"AWI"	90	1528	3442	2455	3	0	2	60	0	0	0	21	0	10	0	3	0	0	0	0	3	0	0	1	82	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	21	178	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	1	2	0	0	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	95	"AWI"	95	1683	3552	2602	0	0	7	40	0	0	0	17	0	5	0	0	0	0	0	0	3	0	0	1	44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	103	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	7	0	0	0	0	0	1
3090	4025	"Dvur Anšov"	48.776394	16.4207	97	"AWI"	97	1734	3602	2656	5	0	5	88	0	0	0	30	0	11	0	8	0	0	0	0	0	0	1	0	85	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	126	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	3	0	0	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	102	"AWI"	102	1870	3736	2805	10	0	3	79	0	0	0	28	0	11	1	0	0	1	0	0	3	0	0	0	103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	91	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	3	2	0	1	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	105	"AWI"	105	1970	3792	2888	9	0	8	103	0	0	0	50	0	14	0	2	0	0	0	0	2	0	0	0	68	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	24	120	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	3	1	0	2	2
3090	4025	"Dvur Anšov"	48.776394	16.4207	110	"AWI"	110	2075	3939	3034	7	1	7	135	1	0	0	43	0	9	0	0	0	2	0	0	2	0	0	1	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	74	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	3	0	1	0	0	0	1
3090	4025	"Dvur Anšov"	48.776394	16.4207	115	"AWI"	115	2255	4037	3182	9	0	4	184	0	0	0	48	0	7	0	0	0	2	0	0	7	0	0	0	32	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	14	68	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0	0
3090	4025	"Dvur Anšov"	48.776394	16.4207	120	"AWI"	120	2365	4182	3327	8	0	7	62	0	0	0	46	0	10	1	0	0	0	0	0	3	0	0	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	1
