"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3330	4323	"Ospitale"	44.15556	10.78	120	"AWI"	120	-30	509	152	18	0	4	1	0	0	5	17	0	6	10	0	2	6	0	63	4	5	0	0	0	0	0	0	1	0	7	3	41	0	0	3	0	0	1	0	0	0	0	1	0
3330	4323	"Ospitale"	44.15556	10.78	160	"AWI"	160	42	774	321	46	0	2	0	0	0	2	0	13	2	0	0	0	5	0	3	7	104	0	0	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0	1	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	180	"AWI"	180	102	847	412	62	0	0	2	0	0	8	0	1	2	0	0	0	5	0	2	1	38	0	0	0	0	0	0	0	0	0	0	66	0	0	7	0	0	2	1	2	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	200	"AWI"	200	141	957	495	60	0	6	0	0	0	3	0	0	4	2	0	0	4	0	9	1	56	0	0	0	0	0	0	0	0	0	0	25	0	0	23	0	0	6	0	0	0	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	220	"AWI"	220	212	1050	583	67	1	5	4	0	0	0	0	1	1	0	0	0	7	0	5	2	53	0	0	0	0	0	0	0	0	0	0	33	0	0	19	0	0	1	0	1	0	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	240	"AWI"	240	259	1144	676	51	5	7	0	0	0	1	1	1	4	0	0	0	4	0	1	6	86	0	0	0	1	0	0	1	0	0	1	14	0	0	16	0	0	3	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	260	"AWI"	260	320	1244	764	61	0	9	0	0	0	5	0	3	1	0	0	0	3	0	4	1	57	0	0	0	0	0	0	0	0	0	0	27	0	3	18	0	0	5	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	280	"AWI"	280	385	1321	853	85	1	2	0	0	0	0	1	2	0	0	0	0	4	0	36	1	41	0	0	0	0	0	0	0	0	0	0	7	0	0	14	0	0	5	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	300	"AWI"	300	432	1439	941	79	0	8	0	0	0	0	0	0	3	1	3	0	2	0	57	1	18	0	0	1	0	0	0	2	0	0	1	8	0	0	10	0	0	0	0	0	0	0	0	5
3330	4323	"Ospitale"	44.15556	10.78	320	"AWI"	320	533	1493	1029	145	0	5	0	0	0	0	0	0	0	0	0	0	0	0	21	1	7	0	0	0	0	0	0	0	0	2	0	8	0	0	11	0	0	0	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	340	"AWI"	340	596	1548	1125	54	0	2	0	0	0	0	0	0	0	0	0	0	3	0	4	1	10	0	0	2	0	0	0	3	0	0	0	11	0	0	6	0	0	2	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	360	"AWI"	360	693	1611	1214	103	0	2	0	0	1	0	0	0	0	0	0	0	6	1	18	2	29	0	0	0	0	0	0	2	0	0	0	9	0	2	13	0	0	6	0	0	2	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	380	"AWI"	380	792	1690	1307	92	0	3	0	0	0	2	1	0	1	0	0	0	2	0	40	2	23	0	0	0	0	0	0	0	0	0	0	3	0	5	20	0	0	3	1	1	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	400	"AWI"	400	899	1762	1399	84	1	9	0	0	0	0	0	0	3	0	0	0	12	0	23	2	49	1	0	0	0	0	0	1	0	0	0	5	0	0	17	0	0	2	0	1	0	0	0	4
3330	4323	"Ospitale"	44.15556	10.78	404	"AWI"	404	940	1770	1415	100	0	6	2	0	0	0	0	0	2	0	0	0	5	0	39	1	22	0	0	0	0	0	0	1	0	0	0	2	0	0	26	0	0	1	2	0	1	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	416	"AWI"	416	1023	1794	1466	117	0	2	0	0	0	0	1	0	1	0	0	0	3	0	23	0	18	0	0	0	0	0	0	0	0	1	0	3	1	0	25	0	0	0	1	0	0	1	0	1
3330	4323	"Ospitale"	44.15556	10.78	428	"AWI"	428	1072	1828	1520	60	1	6	1	0	0	0	2	2	0	0	0	0	14	0	17	1	60	1	0	0	0	2	0	0	0	1	0	10	0	0	17	0	0	1	0	0	0	1	0	3
3330	4323	"Ospitale"	44.15556	10.78	440	"AWI"	440	1122	1883	1577	78	0	4	0	0	0	0	2	5	0	0	0	0	17	0	22	1	41	1	0	0	1	3	0	1	0	1	0	6	0	0	20	0	0	1	0	0	0	0	1	3
3330	4323	"Ospitale"	44.15556	10.78	452	"AWI"	452	1298	1922	1635	124	1	6	0	0	0	0	3	3	0	0	0	0	10	0	41	1	43	0	0	0	0	0	0	0	0	2	0	4	0	0	13	0	0	0	0	0	0	0	0	5
3330	4323	"Ospitale"	44.15556	10.78	464	"AWI"	464	1489	1969	1700	91	0	8	0	1	0	0	1	1	1	0	0	0	9	0	19	2	35	0	0	0	0	2	0	0	0	2	0	5	0	0	17	0	0	1	0	0	0	0	0	5
3330	4323	"Ospitale"	44.15556	10.78	476	"AWI"	476	1608	2046	1770	106	0	4	0	0	0	0	0	0	0	0	0	0	7	0	27	1	36	5	0	0	0	2	0	0	0	1	1	4	0	0	22	0	0	0	0	1	0	1	0	3
3330	4323	"Ospitale"	44.15556	10.78	480	"AWI"	480	1625	2083	1793	131	0	2	0	0	0	0	0	1	2	0	0	0	5	0	26	1	31	0	0	0	0	2	0	3	0	1	0	4	0	0	8	0	0	2	0	0	0	0	0	3
3330	4323	"Ospitale"	44.15556	10.78	488	"AWI"	488	1649	2193	1839	104	0	9	0	0	0	0	0	0	0	2	0	0	12	0	38	1	19	3	0	0	0	2	0	0	0	4	0	4	0	0	16	0	0	0	0	1	0	0	4	5
3330	4323	"Ospitale"	44.15556	10.78	500	"AWI"	500	1896	2366	2059	101	0	9	1	0	0	1	0	3	0	0	0	0	3	0	42	3	28	0	0	0	0	0	0	2	0	0	0	5	1	0	12	0	0	0	0	0	0	0	0	3
3330	4323	"Ospitale"	44.15556	10.78	508	"AWI"	508	2090	2476	2229	109	0	8	0	0	0	0	1	0	0	0	0	0	9	0	46	1	20	0	0	0	0	1	0	0	0	1	0	8	0	0	20	0	0	0	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	516	"AWI"	516	2275	2590	2397	160	0	6	0	2	0	0	2	2	0	0	0	0	5	0	38	0	4	0	0	0	0	1	0	0	0	1	0	4	0	0	10	0	0	0	0	0	0	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	520	"AWI"	520	2362	2662	2481	116	0	3	0	0	0	0	0	0	0	0	0	0	5	0	32	0	45	1	0	0	0	0	0	1	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	2
3330	4323	"Ospitale"	44.15556	10.78	524	"AWI"	524	2445	2736	2565	153	0	3	0	0	0	1	2	2	0	0	0	0	3	0	24	0	17	1	0	0	0	0	0	0	0	2	0	2	0	0	5	0	0	0	0	0	0	0	0	3
3330	4323	"Ospitale"	44.15556	10.78	532	"AWI"	532	2605	2909	2732	146	1	4	1	0	0	1	1	2	0	0	0	0	2	0	22	1	14	0	0	0	0	0	0	0	0	4	1	4	0	0	9	0	0	0	1	1	0	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	540	"AWI"	540	2768	3089	2889	108	0	4	0	2	0	0	1	2	0	0	0	0	5	0	36	2	39	0	0	0	0	0	0	0	0	1	0	8	0	0	21	0	0	0	0	0	1	0	0	5
3330	4323	"Ospitale"	44.15556	10.78	544	"AWI"	544	2809	3166	2958	106	0	7	0	1	0	0	1	1	0	0	0	0	5	0	26	2	30	0	0	0	0	0	0	0	0	2	0	9	0	0	31	0	0	0	0	0	0	0	0	8
3330	4323	"Ospitale"	44.15556	10.78	548	"AWI"	548	2831	3275	3021	107	0	7	0	1	0	0	1	0	1	0	0	0	8	0	23	0	39	3	0	0	0	0	0	0	0	1	0	9	0	0	22	0	0	0	0	0	0	0	1	5
3330	4323	"Ospitale"	44.15556	10.78	560	"AWI"	560	2879	3766	3205	173	1	2	0	0	0	2	0	0	0	1	0	0	0	0	5	2	16	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	1	0	0	1	4
3330	4323	"Ospitale"	44.15556	10.78	570	"AWI"	570	2905	4201	3358	132	0	3	0	2	0	0	2	0	1	0	0	0	2	0	10	1	27	0	0	0	0	0	0	1	0	0	2	3	0	0	12	0	0	0	0	0	0	0	2	3
3330	4323	"Ospitale"	44.15556	10.78	580	"AWI"	580	2929	4628	3510	130	0	3	1	0	0	0	3	0	0	0	0	0	15	0	20	0	16	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	2	5
3330	4323	"Ospitale"	44.15556	10.78	590	"AWI"	590	3036	4898	3677	118	0	9	0	0	0	1	1	0	0	0	0	0	8	0	33	1	14	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	0	0	0	0	0	0	1	7
3330	4323	"Ospitale"	44.15556	10.78	600	"AWI"	600	3167	4945	3879	157	1	3	0	0	0	0	1	1	1	1	0	0	2	0	12	0	4	0	0	0	0	0	0	0	0	1	0	6	0	0	8	0	0	0	0	1	0	0	0	1
3330	4323	"Ospitale"	44.15556	10.78	610	"AWI"	610	3250	5013	4114	145	0	2	0	0	1	0	3	0	0	0	0	0	10	0	13	0	8	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0	1	2
3330	4323	"Ospitale"	44.15556	10.78	620	"AWI"	620	3321	5094	4351	148	5	5	0	0	0	1	0	0	0	0	0	0	4	0	9	0	9	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	1	1	0	0	1	3
3330	4323	"Ospitale"	44.15556	10.78	630	"AWI"	630	3384	5221	4532	134	5	1	0	1	1	0	0	1	0	0	0	0	6	0	5	1	18	0	0	0	0	0	0	0	0	0	0	5	0	1	15	0	0	0	0	0	0	0	0	12
3330	4323	"Ospitale"	44.15556	10.78	640	"AWI"	640	3667	5308	4696	126	0	4	0	1	0	3	1	2	0	0	0	1	7	0	7	1	7	0	0	0	0	0	0	0	0	2	0	2	3	0	16	0	0	0	4	0	0	0	2	10
3330	4323	"Ospitale"	44.15556	10.78	660	"AWI"	660	4430	5377	4995	96	0	3	0	1	0	1	1	0	3	0	0	0	4	0	3	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	0	1	0	0	0	0	2	3
3330	4323	"Ospitale"	44.15556	10.78	684	"AWI"	684	5101	5545	5373	139	0	3	2	1	2	0	0	1	0	0	0	0	11	0	7	2	4	0	0	0	0	0	1	0	0	4	2	3	0	0	11	0	0	0	0	1	0	0	1	4
3330	4323	"Ospitale"	44.15556	10.78	688	"AWI"	688	5186	5556	5417	167	1	1	1	0	0	1	0	0	0	0	0	1	2	0	2	0	5	0	1	0	0	0	0	0	0	1	0	4	0	0	2	0	0	0	0	0	2	0	6	2
3330	4323	"Ospitale"	44.15556	10.78	696	"AWI"	696	5336	5602	5503	140	0	6	0	0	0	0	0	0	1	0	0	0	10	0	6	0	9	1	0	0	0	0	0	0	0	5	0	0	0	1	10	0	0	0	2	1	0	1	0	5
3330	4323	"Ospitale"	44.15556	10.78	728	"AWI"	728	5466	6180	5817	159	0	2	0	0	0	0	0	1	0	0	0	0	6	0	3	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	1	0	0	0	0	3
3330	4323	"Ospitale"	44.15556	10.78	732	"AWI"	732	5519	6210	5854	145	0	2	2	0	2	0	2	0	0	0	0	0	7	0	1	0	9	0	0	0	0	0	0	0	0	1	0	8	0	0	7	0	0	0	4	1	0	0	5	5
3330	4323	"Ospitale"	44.15556	10.78	736	"AWI"	736	5593	6220	5894	148	2	2	0	0	0	0	2	0	1	0	0	0	9	0	4	0	11	0	0	0	0	0	0	0	0	1	0	5	0	0	6	0	0	0	2	1	0	0	2	7
3330	4323	"Ospitale"	44.15556	10.78	740	"AWI"	740	5662	6230	5930	131	0	2	1	0	0	0	2	0	0	0	0	0	12	0	8	1	0	0	0	0	1	0	0	0	0	1	0	23	0	1	11	0	0	0	0	3	0	0	1	3
3330	4323	"Ospitale"	44.15556	10.78	752	"AWI"	752	5830	6267	6046	127	2	6	0	0	1	0	0	0	7	0	0	1	4	0	6	0	4	0	0	0	0	0	0	0	1	0	0	21	0	0	10	0	0	0	0	0	0	0	6	9
3330	4323	"Ospitale"	44.15556	10.78	777	"AWI"	777	6045	6498	6292	128	0	2	0	0	0	0	1	0	0	0	0	0	8	0	17	1	5	0	0	0	0	0	0	0	0	2	0	8	0	0	14	0	0	0	0	0	0	0	5	8
