"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Malvaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"
23804	41243	"Tilbury Fort"	51.45583	0.37611	391	"AWI"	391	1397	2794	2205	0	40	30	1	2	0	0	4	1	1	0	0	41	16	1	0	0	8	0	0	0	0	1	21	0	0	33	0	0	69	0	0	0	1	0	6	0	0	0	6	4
23804	41243	"Tilbury Fort"	51.45583	0.37611	399	"AWI"	399	1643	2950	2398	0	25	36	1	0	0	0	1	1	1	0	0	47	16	0	0	0	6	0	0	0	0	1	30	0	0	28	0	0	85	0	0	0	1	0	5	0	0	0	4	4
23804	41243	"Tilbury Fort"	51.45583	0.37611	407	"AWI"	407	1890	3103	2601	0	41	26	2	0	6	0	1	1	0	0	0	40	15	0	0	0	0	0	0	0	0	1	38	0	0	0	0	1	62	0	0	0	1	0	0	0	0	0	11	4
23804	41243	"Tilbury Fort"	51.45583	0.37611	415	"AWI"	415	2145	3271	2802	0	46	32	0	0	5	0	3	1	0	0	0	60	10	0	0	0	2	0	0	0	0	0	10	4	0	63	0	0	50	0	0	0	0	0	3	0	0	0	5	3
23804	41243	"Tilbury Fort"	51.45583	0.37611	423	"AWI"	423	2407	3421	3001	0	46	25	1	2	7	0	3	0	0	0	0	69	4	0	0	0	4	0	0	0	0	0	8	0	0	47	0	0	66	0	0	0	0	0	4	0	0	0	6	4
23804	41243	"Tilbury Fort"	51.45583	0.37611	431	"AWI"	431	2649	3572	3197	0	34	20	0	2	3	0	5	0	0	0	0	60	6	0	0	0	6	0	4	0	0	0	13	0	0	0	0	0	91	0	0	0	0	0	4	0	0	0	9	4
23804	41243	"Tilbury Fort"	51.45583	0.37611	439	"AWI"	439	2930	3722	3393	0	37	29	0	0	3	0	2	0	0	0	0	55	9	0	0	0	7	1	0	0	0	1	17	0	0	38	0	0	83	0	0	0	0	0	1	0	0	0	7	7
23804	41243	"Tilbury Fort"	51.45583	0.37611	447	"AWI"	447	3197	3865	3596	0	71	9	0	1	5	0	3	0	1	0	0	68	1	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	60	0	0	0	0	0	2	0	0	0	8	2
23804	41243	"Tilbury Fort"	51.45583	0.37611	455	"AWI"	455	3479	4001	3793	1	18	13	16	0	0	0	1	0	0	0	0	54	2	0	0	0	2	0	0	0	0	0	4	0	0	97	0	0	54	0	0	0	0	0	3	0	0	1	4	2
23804	41243	"Tilbury Fort"	51.45583	0.37611	463	"AWI"	463	3841	4127	3982	0	43	1	1	0	1	0	3	0	0	0	0	128	5	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	77	0	0	0	1	0	1	0	5	0	12	5
