"Dataset_ID"	"Original.chronology_Compared"	"Original.chronology_VS._Newly.chronology"	"Reason"	"LegacyAge 1.0_Source"
7	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
8	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"the Neotoma model adds additional biostratigraphic information, but all of them not listed in the publication"	"AWI"
9	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core basal age and catch up the first dating better"	"AWI"
11	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
12	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include more datings at high depth from publication"	"AWI"
15	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
16	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
19	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
20	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon"	"AWI"
24	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last second dating better"	"AWI"
25	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
27	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
31	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
32	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
33	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
68	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
69	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
200	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating point better"	"AWI"
202	"PalEON-STEPPS"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's include the core top and basal ages better, publication unavailable"	"AWI"
203	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
204	"Goring Bulk Bacon"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up the last dating better according to the comments from Neotoma, publication unavailable"	"AWI"
205	"Two: Binford 1986 and Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better according to references and catch up all datings, lead-210 more reliable than exteapolated dates used in the Neotoma"	"AWI"
206	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
208	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
209	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
210	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
212	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
214	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
215	"Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's better according to references, included basal age from publication"	"AWI"
217	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
219	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
221	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
224	"NAPD 1"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon, publication unavailable"	"AWI"
225	"Two: CAL BP and Giesecke et al. 2014 (MADCAP)"	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings better, maybe a hiatus in the model"	"AWI"
226	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
230	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
232	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
234	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
236	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
238	"Wang et al."	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"Both ok and AWI's priority as using Bacon, publication unavailable"	"AWI"
239	"Wang et al."	"Original chronology is partially or completely outside the 95% confidence intervals of the LegacyAge 1.0 "	"AWI's catch up all datings at 800-1200 cm"	"AWI"
240	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
245	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
250	"Two: Wang et al. and SKOPE"	"Original chronology is within the 95% confidence intervals of the LegacyAge 1.0 "	"All of them ok and AWI's priority as using Bacon"	"AWI"
252	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
253	NA	"No original (calibrated) chronology"	"No original (calibrated) chronology"	"AWI"
