TaxonName,Harmonisation
?Abies,Abies
?Algae,Delete
?Fungi,Delete
?Lauraceae,Lauraceae
"?Microthyrium (type 8, HdV)",Delete
?Populus,Populus
?Shepherdia,Elaeagnaceae
<30 microm Polygonum bistorta-Typ,Polygonaceae
>30 micro P. bistorta-Typ,Polygonaceae
1/2Picea,Picea
1/2Pinus H.,Pinus
Abatia,Abatia
Abelia,Abelia
Abies,Abies
abies,Abies
Abies alba,Abies
Abies alba|pollen|NISP,Abies
Abies alba|stomate|NISP,Delete
Abies balsamea,Abies
Abies bifolia,Abies
Abies concolor,Abies
Abies fargesii,Abies
Abies lasiocarpa,Abies
Abies marocana,Abies
Abies maroccana,Abies
Abies nordmanniana,Abies
Abies sibirica,Abies
Abies sp.,Abies
Abies undiff.,Abies
Abies|pollen|NISP,Abies
Abies|pollen|NISP|pollen|NISP,Abies
Abies|stomate|grains/ml|stomate|grains/ml,Delete
Abies|stomate|NISP,Delete
Abies|stomate|NISP|stomate|NISP,Delete
Abildgaardieae,Cyperaceae
Abreae,Fabaceae
Abronia,Nyctaginaceae
Abronia latifolia,Nyctaginaceae
Abronia sp.,Nyctaginaceae
Abrus,Fabaceae
Abuta,Menispermaceae
Abutilon,Malvaceae
Abutilon cf. A. incanum,Malvaceae
Abutilon cf. A. sonorae,Malvaceae
Abutilon incanum,Malvaceae
Abutilon palmeri,Malvaceae
Abutilon sp.,Malvaceae
Abutilon-type,Malvaceae
Acacia,Acacia
Acacia (group I),Acacia
Acacia (group III),Acacia
Acacia (type I),Acacia
Acacia (type III),Acacia
Acacia ehrenbergiana,Acacia
Acacia ehrenbergiana-type,Acacia
Acacia gerrardii,Acacia
Acacia greggii,Acacia
Acacia kamerunensis,Acacia
Acacia kamerunensis-type,Acacia
Acacia koa,Acacia
Acacia mellifera,Acacia
Acacia neovernicosa,Acacia
Acacia roemeriana,Acacia
Acacia sp.,Acacia
Acacia vernicosa,Acacia
Acacia/Albizia,Acacia
Acacia/Inga,Acacia
Acacia/Parkia,Acacia
Acaciapollenites myriosporites,Delete
Acacia-type,Acacia
Acacia-type (A. ehrenbergiana),Acacia
Acacia-type (A. mellifera),Acacia
Acacia-type (type II),Acacia
Acacia-type (type III),Acacia
Acaena,Rosaceae
Acaena (blocky),Rosaceae
Acaena-type,Rosaceae
Acalypha,Euphorbiaceae
Acalypha (4-5 porate),Euphorbiaceae
Acalypha (large),Euphorbiaceae
Acalypha (tetraporate),Euphorbiaceae
Acalypha (triporate),Euphorbiaceae
Acalypha (type 2),Euphorbiaceae
Acalypha (type I),Euphorbiaceae
Acalypha californica,Euphorbiaceae
Acalypha cf. A. rhomboidea,Euphorbiaceae
Acalypha sp.,Euphorbiaceae
Acalypha undiff.,Euphorbiaceae
Acalypha-type,Euphorbiaceae
Acanthaceae,Acanthaceae
Acanthaceae (diporate),Acanthaceae
Acanthaceae (prolate),Acanthaceae
Acanthaceae (triangular),Acanthaceae
Acanthaceae (tricolporate),Acanthaceae
Acanthaceae (type 1),Acanthaceae
Acanthaceae (type 1) cf. Acanthus,Acanthaceae
Acanthaceae incertae sedis,Acanthaceae
Acanthaceae undiff.,Acanthaceae
Acanthoideae,Acanthaceae
Acantholimon,Plumbaginaceae
Acanthopanax,Araliaceae
Acanthophoenix,Acanthophoenix
Acanthophoenix rubra,Acanthophoenix
Acanthus,Acanthaceae
Acanthus ilicifolium,Acanthaceae
Acanthus-type,Acanthaceae
Acaulon-type,Delete
Acer,Acer
Acer (reticulate),Acer
Acer (rugulate),Acer
Acer (striate),Acer
Acer argutum,Acer
Acer campestre,Acer
Acer campestre-type,Acer
Acer cf. A. campestre,Acer
Acer cf. A. glabrum,Acer
Acer cf. A. negundo,Acer
Acer cf. A. pensylvanicum,Acer
Acer cf. A. saccharum,Acer
Acer cf. A. spicatum,Acer
Acer circinatum,Acer
Acer circinatum-type,Acer
Acer glabrum,Acer
Acer glabrum-type,Acer
Acer macrophyllum,Acer
Acer macrophyllum-type,Acer
Acer mono,Acer
Acer negundo,Acer
Acer negundo-type,Acer
Acer nigrum,Acer
Acer pensylvanicum,Acer
Acer platanoides,Acer
Acer pseudoplatanus,Acer
Acer rubrum,Acer
Acer rubrum-type,Acer
Acer saccharinum,Acer
Acer saccharinum-type,Acer
Acer saccharum,Acer
Acer saccharum/A. nigrum,Acer
Acer saccharum-type,Acer
Acer sp.,Acer
Acer spicatum,Acer
Acer spicatum-type,Acer
Acer turkestanicum,Acer
Acer undiff.,Acer
Aceraceae,Aceraceae
Acer-type,Acer
Achariaceae,Achariaceae
Achatocarpaceae,Achatocarpaceae
Achatocarpus,Achatocarpus
Achillea,Asteraceae
Achillea erba-rotta,Asteraceae
Achillea erba-rotta subsp. moschata,Asteraceae
Achillea moschata,Asteraceae
Achillea/Anthemis-type,Asteraceae
Achillea/Aster,Asteraceae
Achillea/Aster-type,Asteraceae
Achillea/Matricaria,Asteraceae
Achillea-type,Asteraceae
Achnatherum,Poaceae
Achnatherum cf. A. robustum,Poaceae
Achnatherum eminens,Poaceae
Achnatherum hymenoides,Poaceae
Achnatherum occidentale,Poaceae
Achnatherum robustum,Poaceae
Achnatherum speciosum,Poaceae
Achnatherum thurberianum,Poaceae
Achyranthes,Amaranthaceae
Achyranthes aspera,Amaranthaceae
Achyranthes aspera-type,Amaranthaceae
Achyranthes-type,Amaranthaceae
Achyranthes-type (A. aspera),Amaranthaceae
Acioa,Acioa
Aciotis,Melastomataceae
Aciphylla,Apiaceae
Aciphylla squarrosa-type,Apiaceae
Acmena,Acmena
Acnistus,Acnistus
Aconitum,Ranunculaceae
Aconitum (excluding A. napellus),Ranunculaceae
Aconitum group,Ranunculaceae
Aconitum lycoctonum,Ranunculaceae
Aconitum lycoctonum subsp. septentrionale,Ranunculaceae
Aconitum napellus type,Ranunculaceae
Aconitum napellus-type,Ranunculaceae
Aconitum septentrionale,Ranunculaceae
Aconitum-type,Ranunculaceae
Aconogonon,Polygonaceae
Aconogonon alaskanum,Polygonaceae
Aconogonon alpinum,Polygonaceae
