"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Papaveraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	0	"AWI"	0	-109	54	-29	5.8252427184466	0	0	0	4.85436893203883	0	4.85436893203883	0	7.76699029126214	20.3883495145631	0.970873786407767	0	0.970873786407767	1.94174757281553	7.76699029126214	27.1844660194175	0.970873786407767	0	14.5631067961165	1.94174757281553
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	3	"AWI"	3	83	1605	515	1.40845070422535	1.40845070422535	1.40845070422535	0	5.63380281690141	0	1.40845070422535	1.40845070422535	4.22535211267606	16.9014084507042	2.8169014084507	0	1.40845070422535	4.22535211267606	7.04225352112676	33.8028169014084	2.8169014084507	0	14.0845070422535	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	5.5	"AWI"	5.5	306.5	2270.5	1062	3.96039603960396	0	0	0	3.96039603960396	0	1.98019801980198	0	7.92079207920792	14.8514851485149	0.99009900990099	1.98019801980198	0	0.99009900990099	4.95049504950495	27.7227722772277	3.96039603960396	0	22.7722772277228	3.96039603960396
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	8	"AWI"	8	648	2858	1603	4.12371134020619	0	0	0	3.09278350515464	0	0	0	5.15463917525773	18.5567010309278	3.09278350515464	2.06185567010309	1.03092783505155	2.06185567010309	3.09278350515464	31.9587628865979	3.09278350515464	3.09278350515464	19.5876288659794	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	10.5	"AWI"	10.5	1017	3411	2139	4.83870967741935	0	0.806451612903226	0	4.83870967741935	0	1.61290322580645	0	5.64516129032258	18.5483870967742	1.61290322580645	1.61290322580645	0	1.61290322580645	3.2258064516129	25.8064516129032	4.03225806451613	0	21.7741935483871	4.03225806451613
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	13	"AWI"	13	1467	3904	2668	3.19148936170213	0	0	0	4.25531914893617	2.12765957446809	3.19148936170213	0	3.19148936170213	9.57446808510638	2.12765957446809	2.12765957446809	1.06382978723404	0	7.4468085106383	36.1702127659575	6.38297872340426	0	19.1489361702128	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	15.5	"AWI"	15.5	1969.5	4352.5	3209	3.125	0	0	0	3.125	0	6.25	0	3.125	18.75	0	0	0	2.08333333333333	4.16666666666667	31.25	3.125	2.08333333333333	22.9166666666667	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	18	"AWI"	18	2584	4777	3745	1.11111111111111	0	0	0	1.11111111111111	0	0	0	4.44444444444444	21.1111111111111	1.11111111111111	0	0	2.22222222222222	5.55555555555556	38.8888888888889	2.22222222222222	0	20	2.22222222222222
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	20.5	"AWI"	20.5	3295	5136.5	4265	1.65289256198347	0	1.65289256198347	0	0.826446280991736	0.826446280991736	0.826446280991736	0	4.95867768595041	16.5289256198347	0.826446280991736	0	0.826446280991736	0.826446280991736	6.61157024793388	44.6280991735537	3.30578512396694	0	15.702479338843	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	23	"AWI"	23	4133	5550	4813	0.925925925925926	0	0	0	2.77777777777778	0	0	0	10.1851851851852	20.3703703703704	0	0	0.925925925925926	0	4.62962962962963	32.4074074074074	0.925925925925926	0	24.0740740740741	2.77777777777778
