"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Papaveraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	0	"AWI"	0	-109	54	-29	6	0	0	0	5	0	5	0	8	21	1	0	1	2	8	28	1	0	15	2
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	3	"AWI"	3	83	1605	515	1	1	1	0	4	0	1	1	3	12	2	0	1	3	5	24	2	0	10	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	5.5	"AWI"	5.5	306.5	2270.5	1062	4	0	0	0	4	0	2	0	8	15	1	2	0	1	5	28	4	0	23	4
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	8	"AWI"	8	648	2858	1603	4	0	0	0	3	0	0	0	5	18	3	2	1	2	3	31	3	3	19	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	10.5	"AWI"	10.5	1017	3411	2139	6	0	1	0	6	0	2	0	7	23	2	2	0	2	4	32	5	0	27	5
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	13	"AWI"	13	1467	3904	2668	3	0	0	0	4	2	3	0	3	9	2	2	1	0	7	34	6	0	18	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	15.5	"AWI"	15.5	1969.5	4352.5	3209	3	0	0	0	3	0	6	0	3	18	0	0	0	2	4	30	3	2	22	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	18	"AWI"	18	2584	4777	3745	1	0	0	0	1	0	0	0	4	19	1	0	0	2	5	35	2	0	18	2
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	20.5	"AWI"	20.5	3295	5136.5	4265	2	0	2	0	1	1	1	0	6	20	1	0	1	1	8	54	4	0	19	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	23	"AWI"	23	4133	5550	4813	1	0	0	0	3	0	0	0	11	22	0	0	1	0	5	35	1	0	26	3
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	25.5	"AWI"	25.5	4594	6593.5	5495.5	0	0	0	0	5	0	0	0	4	13	1	0	0	1	2	24	2	0	22	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	28	"AWI"	28	5166	7261	6229	5	0	0	0	3	0	1	0	5	22	0	0	0	2	5	39	2	0	21	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	30.5	"AWI"	30.5	5936.5	7713	6977	1	1	0	0	4	1	0	0	4	18	0	0	0	1	7	34	0	0	31	2
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	33	"AWI"	33	6829	8089	7610	1	0	0	0	1	1	0	0	4	14	0	0	0	1	6	27	2	0	45	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	35.5	"AWI"	35.5	7186	8758.5	7981	0	0	0	0	1	0	1	0	6	2	1	3	0	0	2	33	1	0	60	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	38	"AWI"	38	7568	9186	8382	0	0	0	0	1	0	1	0	6	4	1	1	0	0	4	21	0	0	68	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	40.5	"AWI"	40.5	7926	9610	8800	0	0	0	0	0	0	2	0	5	1	2	3	0	0	1	21	0	0	76	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	43	"AWI"	43	8342	9967	9206	1	1	0	0	0	0	2	0	2	0	1	3	0	0	3	43	0	0	51	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	45.5	"AWI"	45.5	8838	10319	9601.5	0	0	0	0	1	0	2	0	6	0	1	2	0	0	5	89	0	0	1	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	48	"AWI"	48	9473	10632	10005	1	0	0	0	2	0	6	0	10	0	1	4	0	0	10	60	2	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	50.5	"AWI"	50.5	9819	11349.5	10452.5	0	0	0	0	1	0	4	0	15	0	0	2	1	0	40	32	3	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	53	"AWI"	53	10122	12310	10948	1	0	0	0	20	0	0	0	3	2	7	1	0	3	20	4	0	0	0	0
222	224	"Baird Inlet [Rock Basin Lake]"	78.49167	-76.78	55.5	"AWI"	55.5	10381.5	13189	11451	3	0	0	0	34	0	2	0	0	4	21	0	0	16	0	0	0	0	0	0
