"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Ulmus"
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	1	"AWI"	1	-130	37	-52	22	0	26	1	0	0	0	38	1	9	0	0	0	1	16	0	0	45	13	54	38	1	0	1	1	0	0	1	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	40	"AWI"	40	-4	1068	444	8	0	17	17	0	0	0	39	0	3	0	0	0	0	4	0	0	63	18	6	39	2	0	0	0	0	0	0	1	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	50	"AWI"	50	17	1351	570	16	0	6	26	0	0	0	61	0	0	1	1	0	0	12	0	1	35	20	1	38	5	0	0	1	0	0	0	2	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	60	"AWI"	60	36	1631	697	10	0	3	10	0	0	0	68	0	2	0	0	0	0	1	0	0	47	17	9	8	2	0	0	1	0	0	0	0	2
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	70	"AWI"	70	95	1866	825	10	0	8	0	0	0	13	57	0	15	0	0	0	0	6	0	0	63	10	2	21	1	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	80	"AWI"	80	290	1915	960	10	0	10	4	0	0	10	69	0	5	0	1	0	0	5	0	0	45	12	8	14	0	0	0	0	0	0	1	2	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	90	"AWI"	90	434	1973	1103	13	0	11	0	0	0	0	59	0	1	0	2	0	0	6	0	0	57	12	11	29	1	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	100	"AWI"	100	557	2028	1246	29	0	3	0	0	0	0	53	0	1	1	1	0	0	10	0	0	67	20	8	11	1	0	0	0	0	0	0	0	2
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	110	"AWI"	110	659	2104	1402	22	0	12	7	0	0	0	32	0	1	0	0	0	0	8	0	0	81	25	7	6	1	0	0	0	0	0	0	2	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	120	"AWI"	120	754	2207	1555	14	0	6	0	0	0	0	62	0	0	2	0	0	0	0	0	0	79	12	3	7	3	0	0	0	0	0	0	0	1
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	130	"AWI"	130	830	2350	1697	11	0	10	0	0	0	0	45	0	7	1	0	0	0	8	0	0	57	25	24	14	0	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	140	"AWI"	140	948	2466	1811	14	0	5	0	0	0	0	78	0	2	0	0	0	0	5	0	0	52	11	14	15	1	0	0	1	0	0	0	1	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	150	"AWI"	150	1140	2510	1899	9	0	9	2	0	0	24	75	0	6	1	0	0	0	8	0	0	31	22	7	15	2	0	0	0	0	0	0	1	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	160	"AWI"	160	1306	2552	1985	38	0	10	1	0	0	2	46	0	0	2	0	0	0	6	0	0	76	13	4	6	1	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	170	"AWI"	170	1450	2599	2079	12	0	10	2	0	0	0	87	0	0	1	0	0	0	1	0	0	53	12	1	2	1	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	180	"AWI"	180	1565	2668	2173	10	0	6	1	0	1	0	100	0	9	0	0	0	0	5	0	0	42	9	10	7	2	0	0	0	0	0	1	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	190	"AWI"	190	1645	2759	2266	7	0	14	0	0	0	0	119	0	0	0	0	0	0	3	0	0	29	9	7	3	6	0	0	0	1	0	0	1	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	200	"AWI"	200	1709	2902	2357	22	0	9	0	0	0	0	43	0	2	0	0	0	0	2	1	0	76	36	1	6	0	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	210	"AWI"	210	1780	2990	2422	27	0	11	0	1	0	0	85	0	2	0	0	0	0	0	0	0	55	6	0	11	0	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	220	"AWI"	220	1850	3030	2475	32	0	8	0	0	1	0	57	0	7	0	0	0	0	5	2	0	62	11	0	15	1	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	230	"AWI"	230	1907	3078	2529	23	0	13	0	0	0	2	55	0	2	0	0	0	0	5	0	0	83	11	1	8	2	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	240	"AWI"	240	1961	3130	2581	20	0	7	0	0	0	0	50	0	3	0	0	0	0	3	0	0	75	18	0	20	2	0	0	0	0	0	0	2	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	250	"AWI"	250	2003	3190	2631	14	0	13	0	0	0	0	51	0	4	0	0	0	0	1	0	0	78	13	0	13	1	0	0	0	0	1	0	0	1
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	260	"AWI"	260	2040	3267	2682	45	0	11	0	0	0	0	21	0	14	0	0	0	0	4	1	0	81	12	0	11	0	0	0	0	0	0	0	0	0
1106	1139	"Hynes Brook Salt Marsh"	48.61861	-58.965	270	"AWI"	270	2080	3349	2732	41	0	11	0	0	0	5	50	0	2	0	0	0	0	8	0	0	74	15	0	2	0	0	0	0	0	0	0	0	0
