"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
302	308	"Boundary Pond"	45.56667	-70.675	0	"AWI"	0	-108	52	-18	2	0	9	0	0	0	0	148	0	0	0	5	1	0	11	1	0	0	1	2	31	25	0	0	3	0	9	0	0	0	0	0	0	0	0	8	4
302	308	"Boundary Pond"	45.56667	-70.675	10	"AWI"	10	-52	132	43	2	3	9	0	1	1	0	121	0	0	1	0	2	0	2	0	0	0	0	2	44	9	0	0	4	1	4	0	1	4	1	0	0	0	0	4	3
302	308	"Boundary Pond"	45.56667	-70.675	20	"AWI"	20	14	205	103	9	2	12	1	0	0	8	121	1	1	0	0	0	0	3	0	0	0	1	2	36	13	0	0	12	1	6	0	1	2	1	0	0	0	0	2	6
302	308	"Boundary Pond"	45.56667	-70.675	30	"AWI"	30	60	282	166	15	2	4	0	0	0	0	167	1	0	1	0	0	0	7	5	0	0	1	3	39	14	0	0	0	1	8	0	0	0	0	0	1	0	0	6	4
302	308	"Boundary Pond"	45.56667	-70.675	40	"AWI"	40	94	385	221	10	4	4	0	0	0	0	156	0	0	0	0	1	0	13	5	0	0	0	5	53	29	0	0	1	0	9	0	0	0	0	0	0	0	0	12	5
302	308	"Boundary Pond"	45.56667	-70.675	43	"AWI"	43	113	409	239	8	6	5	0	0	3	0	168	1	0	2	0	1	0	16	4	1	1	2	3	34	25	0	1	1	0	11	0	0	0	0	0	0	0	0	2	6
302	308	"Boundary Pond"	45.56667	-70.675	45	"AWI"	45	126	418	251	9	2	11	0	0	0	0	180	0	1	0	0	0	0	15	1	0	0	0	2	36	0	0	0	0	0	9	0	0	0	2	0	1	0	0	10	4
302	308	"Boundary Pond"	45.56667	-70.675	55	"AWI"	55	164	504	312	6	6	11	0	0	0	0	219	0	0	0	0	0	0	16	11	1	0	0	4	35	18	0	1	0	1	8	0	0	0	0	0	0	0	1	9	4
302	308	"Boundary Pond"	45.56667	-70.675	65	"AWI"	65	222	562	374	8	9	4	0	0	1	0	216	1	0	0	0	0	0	19	2	0	1	0	5	34	30	0	0	1	2	8	0	0	0	0	0	0	0	0	22	2
302	308	"Boundary Pond"	45.56667	-70.675	75	"AWI"	75	284	631	430	16	11	12	0	0	2	0	294	1	0	0	1	1	0	32	7	2	0	0	3	39	27	0	3	0	0	18	0	0	0	0	0	0	0	0	24	3
302	308	"Boundary Pond"	45.56667	-70.675	80	"AWI"	80	308	669	456	10	6	10	0	0	1	0	193	0	0	0	0	2	0	14	2	0	1	1	1	15	18	0	0	1	0	19	0	0	0	0	1	0	0	0	15	3
302	308	"Boundary Pond"	45.56667	-70.675	85	"AWI"	85	359	726	504	11	8	9	0	0	0	0	154	0	1	1	1	1	0	13	0	0	2	0	3	16	16	0	0	0	0	7	0	0	0	0	0	1	0	0	16	1
302	308	"Boundary Pond"	45.56667	-70.675	87	"AWI"	87	377	761	532	29	10	19	0	0	1	0	313	0	1	0	1	1	0	34	5	1	0	1	7	37	36	0	3	1	0	8	0	0	0	1	0	0	0	0	24	5
302	308	"Boundary Pond"	45.56667	-70.675	95	"AWI"	95	423	1004	635	5	4	2	1	0	0	0	179	0	1	0	1	0	0	14	3	1	1	0	3	8	16	0	1	0	0	9	0	0	0	0	0	0	0	0	14	6
302	308	"Boundary Pond"	45.56667	-70.675	105	"AWI"	105	535	1276	821	3	7	7	0	0	0	0	153	0	0	0	1	1	0	11	1	0	1	0	1	5	20	0	1	0	0	0	0	1	0	0	0	2	0	0	14	3
