"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Fagus"	"Fraxinus"	"Juglans"	"Morus"	"Nyssa"	"Ostrya.Carpinus"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Tilia"	"Ulmus"
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	0	"AWI"	0	-113	55	-18	1	0	5	0	89	4	4	4	0	0	1	7	2	15	1	9	2	148	0	7
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	1	"AWI"	1	-71	150	30	0	1	4	0	68	4	0	4	0	1	1	0	0	14	1	29	0	157	1	6
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	2	"AWI"	2	-49	286	74	4	2	3	3	111	3	1	2	0	1	5	5	1	4	0	9	1	110	0	3
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	3	"AWI"	3	-18	382	117	0	1	2	0	124	3	2	0	1	1	1	3	2	12	0	16	8	128	0	8
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	4	"AWI"	4	10	426	159	0	4	2	1	138	4	7	2	0	0	0	9	0	15	0	20	8	111	1	2
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	5	"AWI"	5	29	489	202	2	2	2	4	98	1	3	1	0	4	0	1	0	15	0	33	0	91	0	9
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	6	"AWI"	6	76	528	248	4	1	2	7	26	3	6	2	0	1	0	1	1	49	0	27	0	98	0	4
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	8	"AWI"	8	152	650	354	4	2	0	3	11	1	15	10	0	2	0	0	3	37	0	92	3	111	2	2
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	10	"AWI"	10	235	824	492	5	3	6	2	58	4	19	4	2	8	0	1	0	62	0	26	40	79	2	9
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	12	"AWI"	12	402	1009	664	6	0	2	2	6	5	7	2	0	2	0	0	0	38	0	77	9	109	3	1
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	14	"AWI"	14	584	1360	926	3	3	2	0	26	5	3	0	1	5	0	0	0	127	0	19	5	32	2	3
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	16	"AWI"	16	800	1812	1243	0	0	1	1	11	0	6	0	0	0	0	0	0	64	0	12	2	36	2	1
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	18	"AWI"	18	1048	2236	1602	1	0	0	0	4	1	2	0	0	0	0	0	0	171	0	3	6	9	1	1
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	20	"AWI"	20	1368	2555	2007	0	1	0	0	10	0	4	1	0	0	0	0	0	118	0	11	0	7	0	1
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	22	"AWI"	22	1776	2951	2366	1	0	0	0	0	0	2	0	9	0	0	0	0	182	0	3	9	5	0	0
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	24	"AWI"	24	2099	3340	2703	0	0	1	2	6	2	5	0	0	1	0	0	0	116	0	8	3	10	2	0
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	26	"AWI"	26	2387	3706	3039	6	0	1	0	8	3	4	0	1	0	0	0	0	199	0	4	3	7	0	0
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	28	"AWI"	28	2672	4003	3379	0	0	0	1	3	0	1	0	0	0	0	0	0	114	0	7	0	19	0	0
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	30	"AWI"	30	2968	4244	3707	1	0	1	0	0	0	0	0	0	2	0	0	0	90	0	0	0	6	0	0
1081	1114	"Howes Prairie Marsh"	41.65	-87.07222	32	"AWI"	32	3430	4445	4049	2	0	0	0	0	0	1	0	0	0	0	0	0	59	0	2	2	5	0	1
